Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Computer Safety, Reliability, and Security","Lecture Notes in Computer Science","","","","10.1007/978-3-030-26250-1","Alexander RomanovskyElena TroubitsynaDr. Ilir GashiErwin SchoitschFriedemann Bitsch","2019","http://link.springer.com/book/10.1007/978-3-030-26250-1","Book"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-319-64218-5","Jakub StolfaSvatopluk StolfaProf. Dr. Rory V. O'ConnorDr. Richard Messnarz","2017","http://link.springer.com/book/10.1007/978-3-319-64218-5","Book"
"How to Efficiently Build a Front-End Tool for UPPAAL: A Model-Driven Approach","Dependable Software Engineering. Theories, Tools, and Applications","","","","10.1007/978-3-319-69483-2_19","Stefano SchivoBuğra M. YildizEnno RuijtersChristopher GerkingRajesh KumarStefan DziwokArend RensinkMariëlle Stoelinga","2017","http://link.springer.com/chapter/10.1007/978-3-319-69483-2_19","Chapter"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-21290-2","Paolo GiorginiBarbara Weber","2019","http://link.springer.com/book/10.1007/978-3-030-21290-2","Book"
"MDE4IoT: Supporting the Internet of Things with Model-Driven Engineering","Intelligent Distributed Computing X","","","","10.1007/978-3-319-48829-5_7","Federico CiccozziRomina Spalazzese","2017","http://link.springer.com/chapter/10.1007/978-3-319-48829-5_7","Chapter"
"A survey of model-driven techniques and tools for cyber-physical systems","Frontiers of Information Technology & Electronic Engineering","","21","11","10.1631/FITEE.2000311","Bo LiuYuan-rui ZhangXue-lian CaoYu LiuBin GuTie-xin Wang","2020","http://link.springer.com/article/10.1631/FITEE.2000311","Article"
"Encyclopedia of Social Network Analysis and Mining","","","","","10.1007/978-1-4939-7131-2","Reda AlhajjJon Rokne","2018","http://link.springer.com/referencework/10.1007/978-1-4939-7131-2","ReferenceWork"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-319-49094-6","Pekka AbrahamssonAndreas JedlitschkaAnh Nguyen DucMichael FeldererSousuke AmasakiTommi Mikkonen","2016","http://link.springer.com/book/10.1007/978-3-319-49094-6","Book"
"Modeling Meets Programming: A Comparative Study in Model Driven Engineering Action Languages","Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications","","","","10.1007/978-3-319-47169-3_5","Maged ElaasarOmar Badreddin","2016","http://link.springer.com/chapter/10.1007/978-3-319-47169-3_5","Chapter"
"Encyclopedia of Education and Information Technologies","","","","","10.1007/978-3-030-10576-1","Arthur Tatnall","2020","http://link.springer.com/referencework/10.1007/978-3-030-10576-1","ReferenceWork"
"Conceptual Modeling","Lecture Notes in Computer Science","","","","10.1007/978-3-030-62522-1","Dr. Gillian DobbieProf. Dr. Ulrich FrankProf. Dr. Gerti KappelStephen W. LiddleProf. Dr. Heinrich C. Mayr","2020","http://link.springer.com/book/10.1007/978-3-030-62522-1","Book"
"Adaptive Message Restructuring Using Model-Driven Engineering","Information Technology: New Generations","","","","10.1007/978-3-319-32467-8_67","Hang YinFederico GiaimoHugo AndradeChristian BergerIvica Crnkovic","2016","http://link.springer.com/chapter/10.1007/978-3-319-32467-8_67","Chapter"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-319-97925-0","Xabier LarruceaIzaskun SantamariaProf. Dr. Rory V. O'ConnorRichard Messnarz","2018","http://link.springer.com/book/10.1007/978-3-319-97925-0","Book"
"Model-Driven Liaison of Organization Modeling Approaches and Blockchain Platforms","Advances in Enterprise Engineering XIII","","","","10.1007/978-3-030-37933-9_11","Eduard BabkinNataliya Komleva","2020","http://link.springer.com/chapter/10.1007/978-3-030-37933-9_11","Chapter"
"Trends and Advances in Information Systems and Technologies","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-319-77703-0","Álvaro RochaHojjat AdeliLuís Paulo ReisSandra Costanzo","2018","http://link.springer.com/book/10.1007/978-3-319-77703-0","Book"
"A tour of secure software engineering solutions for connected vehicles","Software Quality Journal","","26","4","10.1007/s11219-017-9393-3","Antonia BertolinoAntonello Calabro’Felicita Di GiandomenicoGiuseppe LamiFrancesca LonettiEda MarchettiFabio MartinelliIlaria MatteucciPaolo Mori","2018","http://link.springer.com/article/10.1007/s11219-017-9393-3","Article"
"A Model-Based Combination Language for Scheduling Verification","Model-Driven Engineering and Software Development","","","","10.1007/978-3-030-37873-8_2","Hui ZhaoLudovic ApvrilleFrédéric Mallet","2020","http://link.springer.com/chapter/10.1007/978-3-030-37873-8_2","Chapter"
"Encyclopedia of Computational Neuroscience","","","","","10.1007/978-1-4614-6675-8","Dieter JaegerRanu Jung","2015","http://link.springer.com/referencework/10.1007/978-1-4614-6675-8","ReferenceWork"
"Combining Model-Driven Architecture and Software Product Line Engineering: Reuse of Platform-Specific Assets","Model-Driven Engineering and Software Development","","","","10.1007/978-3-030-11030-7_19","Frédéric VerdierAbdelhak-Djamel SeriaiRaoul Taffo Tiam","2019","http://link.springer.com/chapter/10.1007/978-3-030-11030-7_19","Chapter"
"Encyclopedia of Big Data Technologies","","","","","10.1007/978-3-319-77525-8","Sherif SakrAlbert Y. Zomaya","2019","http://link.springer.com/referencework/10.1007/978-3-319-77525-8","ReferenceWork"
"Assessment of the SEMCO Model-Based Repository Approach for Software System Engineering","Model and Data Engineering","","","","10.1007/978-3-319-66854-3_9","Brahim Hamid","2017","http://link.springer.com/chapter/10.1007/978-3-319-66854-3_9","Chapter"
"Product Lifecycle Management to Support Industry 4.0","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-01614-2","Paolo ChiabertProf. Abdelaziz BourasProf. Frédéric NoëlJosé Ríos","2018","http://link.springer.com/book/10.1007/978-3-030-01614-2","Book"
"Specification of Information Flow Security Policies in Model-Based Systems Engineering","Software Technologies: Applications and Foundations","","","","10.1007/978-3-030-04771-9_47","Christopher Gerking","2018","http://link.springer.com/chapter/10.1007/978-3-030-04771-9_47","Chapter"
"The New Palgrave Dictionary of Economics","","","","","10.1057/978-1-349-95189-5","","2018","http://link.springer.com/referencework/10.1057/978-1-349-95189-5","ReferenceWork"
"Model-driven allocation engineering: specifying and solving constraints based on the example of automotive systems","Automated Software Engineering","","26","2","10.1007/s10515-018-0248-3","Uwe PohlmannMarcus Hüwe","2019","http://link.springer.com/article/10.1007/s10515-018-0248-3","Article"
"Model-Driven IVV Management with Arcadia and Capella","Complex Systems Design & Management","","","","10.1007/978-3-319-26109-6_6","Jean-Luc VoirinStéphane BonnetVéronique NormandDaniel Exertier","2016","http://link.springer.com/chapter/10.1007/978-3-319-26109-6_6","Chapter"
"Springer Handbook of Robotics","Springer Handbooks","","","","10.1007/978-3-319-32552-1","Bruno SicilianoOussama Khatib","2016","http://link.springer.com/book/10.1007/978-3-319-32552-1","Book"
"FASTEN.Safe: A Model-Driven Engineering Tool to Experiment with Checkable Assurance Cases","Computer Safety, Reliability, and Security","","","","10.1007/978-3-030-54549-9_20","Carmen CârlanDaniel Ratiu","2020","http://link.springer.com/chapter/10.1007/978-3-030-54549-9_20","Chapter"
"Model-based testing for software safety: a systematic mapping study","Software Quality Journal","","26","4","10.1007/s11219-017-9386-2","Havva Gulay GurbuzBedir Tekinerdogan","2018","http://link.springer.com/article/10.1007/s11219-017-9386-2","Article"
"Automated Driving","","","","","10.1007/978-3-319-31895-0","Daniel WatzenigProf. Dr. Martin Horn","2017","http://link.springer.com/book/10.1007/978-3-319-31895-0","Book"
"Advances in Production Management Systems. Production Management for the Factory of the Future","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-30000-5","Farhad AmeriProf. Kathryn E. SteckeGregor von CieminskiDimitris Kiritsis","2019","http://link.springer.com/book/10.1007/978-3-030-30000-5","Book"
"Human Systems Engineering and Design II","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-27928-8","Prof. Tareq AhramProf. Waldemar KarwowskiProf. Dr. Stefan PicklProf. Redha Taiar","2020","http://link.springer.com/book/10.1007/978-3-030-27928-8","Book"
"Towards a Model-Driven Security Assurance of Open Source Components","Software Engineering for Resilient Systems","","","","10.1007/978-3-319-65948-0_5","Irum RaufElena Troubitsyna","2017","http://link.springer.com/chapter/10.1007/978-3-319-65948-0_5","Chapter"
"Computer Safety, Reliability, and Security. SAFECOMP 2020 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-55583-2","António CasimiroFrank OrtmeierErwin SchoitschFriedemann BitschPedro Ferreira","2020","http://link.springer.com/book/10.1007/978-3-030-55583-2","Book"
"Towards Safety and Security Co-engineering","Security and Safety Interplay of Intelligent Software Systems","","","","10.1007/978-3-030-16874-2_1","Gabriel Pedroza","2019","http://link.springer.com/chapter/10.1007/978-3-030-16874-2_1","Chapter"
"A Tool-Supported Model-Based Method for Facilitating the EN50129-Compliant Safety Approval Process","Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification","","","","10.1007/978-3-030-18744-6_8","Faiz Ul MuramBarbara GallinaSamina Kanwal","2019","http://link.springer.com/chapter/10.1007/978-3-030-18744-6_8","Chapter"
"On the Move to Meaningful Internet Systems: OTM 2019 Conferences","Lecture Notes in Computer Science","","","","10.1007/978-3-030-33246-4","Hervé PanettoChristophe DebruyneMartin HeppDave LewisDr. Claudio Agostino ArdagnaRobert Meersman","2019","http://link.springer.com/book/10.1007/978-3-030-33246-4","Book"
"Towards a model-driven engineering approach for the assessment of non-functional properties using multi-formalism","Software & Systems Modeling","","18","3","10.1007/s10270-018-0663-8","Simona BernardiStefano MarroneJosé MerseguerRoberto NardoneValeria Vittorini","2019","http://link.springer.com/article/10.1007/s10270-018-0663-8","Article"
"A model-based architecture for interactive run-time monitoring","Software and Systems Modeling","","19","4","10.1007/s10270-020-00780-y","Nicolas HiliMojtaba BagherzadehKarim JahedJuergen Dingel","2020","http://link.springer.com/article/10.1007/s10270-020-00780-y","Article"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-37453-2","Dr. Chiara Di FrancescomarinoRemco DijkmanUwe Zdun","2019","http://link.springer.com/book/10.1007/978-3-030-37453-2","Book"
"Energy-Aware Model-Driven Development of a Wearable Healthcare Device","Software Engineering in Health Care","","","","10.1007/978-3-319-63194-3_4","José Antonio Esparza IsasaPeter Gorm LarsenFinn Overgaard Hansen","2017","http://link.springer.com/chapter/10.1007/978-3-319-63194-3_4","Chapter"
"Security patterns modeling and formalization for pattern-based development of secure software systems","Innovations in Systems and Software Engineering","","12","2","10.1007/s11334-015-0259-1","B. HamidS. GürgensA. Fuchs","2016","http://link.springer.com/article/10.1007/s11334-015-0259-1","Article"
"Towards model-driven CIM-based data exchange for DSOs","Energy Informatics","","1","1","10.1186/s42162-018-0032-4","Dominik AscherChristoph Kondzialka","2018","http://link.springer.com/article/10.1186/s42162-018-0032-4","Article"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-030-56441-4","Murat YilmazProf. Dr. Jörg NiemannPaul ClarkeDr. Richard Messnarz","2020","http://link.springer.com/book/10.1007/978-3-030-56441-4","Book"
"A Model-Driven Process for Physical Protection System Design and Vulnerability Evaluation","Railway Infrastructure Security","","","","10.1007/978-3-319-04426-2_8","Valeria VittoriniStefano MarroneNicola MazzoccaRoberto NardoneAnnarita Drago","2015","http://link.springer.com/chapter/10.1007/978-3-319-04426-2_8","Chapter"
"A Model-Based Safety-Security Risk Analysis Framework for Interconnected Critical Infrastructures","Critical Infrastructure Protection XIV","","","","10.1007/978-3-030-62840-6_14","Rajesh Kumar","2020","http://link.springer.com/chapter/10.1007/978-3-030-62840-6_14","Chapter"
"Advanced Software Engineering","Digital Transformation","","","","10.1007/978-3-662-58134-6_21","Ina SchieferdeckerTom Ritter","2019","http://link.springer.com/chapter/10.1007/978-3-662-58134-6_21","Chapter"
"Model-Driven ML-Ops for Intelligent Enterprise Applications: Vision, Approaches and Challenges","Business Modeling and Software Design","","","","10.1007/978-3-030-52306-0_11","Willem-Jan van den HeuvelDamian A. Tamburri","2020","http://link.springer.com/chapter/10.1007/978-3-030-52306-0_11","Chapter"
"A model-driven approach for vulnerability evaluation of modern physical protection systems","Software & Systems Modeling","","18","1","10.1007/s10270-016-0572-7","Annarita DragoStefano MarroneNicola MazzoccaRoberto NardoneAnnarita TedescoValeria Vittorini","2019","http://link.springer.com/article/10.1007/s10270-016-0572-7","Article"
"Safety.Lab: Model-Based Domain Specific Tooling for Safety Argumentation","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-24249-1_7","Daniel RatiuMarc ZellerLennart Killian","2015","http://link.springer.com/chapter/10.1007/978-3-319-24249-1_7","Chapter"
"Product Lifecycle Management in the Digital Twin Era","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-42250-9","Prof. Clement FortinLouis RivestProf. Alain BernardProf. Dr. Abdelaziz Bouras","2019","http://link.springer.com/book/10.1007/978-3-030-42250-9","Book"
"Model-Based Real-Time Evaluation of Security Patterns: A SCADA System Case Study","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-45480-1_30","Anas MotiiAgnès LanusseBrahim HamidJean-Michel Bruel","2016","http://link.springer.com/chapter/10.1007/978-3-319-45480-1_30","Chapter"
"Thirteen years of SysML: a systematic mapping study","Software and Systems Modeling","","19","1","10.1007/s10270-019-00735-y","Sabine WolnyAlexandra MazakChristine CarpellaVerena GeistManuel Wimmer","2020","http://link.springer.com/article/10.1007/s10270-019-00735-y","Article"
"Model-driven development of high-assurance active medical devices","Software Quality Journal","","24","3","10.1007/s11219-015-9288-0","Atif Mashkoor","2016","http://link.springer.com/article/10.1007/s11219-015-9288-0","Article"
"Challenges and Opportunities for Model-Based Security Risk Assessment of Cyber-Physical Systems","Resilience of Cyber-Physical Systems","","","","10.1007/978-3-319-95597-1_2","Marco RocchettoAlberto FerrariValerio Senni","2019","http://link.springer.com/chapter/10.1007/978-3-319-95597-1_2","Chapter"
"A Role Modeling Based Approach for Cyber Threat Analysis","Model-Driven Engineering and Software Development","","","","10.1007/978-3-030-37873-8_4","Bastien DrouotFahad R. GolraJoël Champeau","2020","http://link.springer.com/chapter/10.1007/978-3-030-37873-8_4","Chapter"
"Digital Marketplaces Unleashed","","","","","10.1007/978-3-662-49275-8","Prof. Dr. Claudia Linnhoff-PopienDr. Ralf SchneiderMichael Zaddach","2018","http://link.springer.com/book/10.1007/978-3-662-49275-8","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-64148-1","Dr. Maurizio MorisioProf. Marco TorchianoAndreas Jedlitschka","2020","http://link.springer.com/book/10.1007/978-3-030-64148-1","Book"
"Product Lifecycle Management Enabling Smart X","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-62807-9","Prof. Dr. Felix NyffeneggerJosé RíosLouis RivestProf. Dr. Abdelaziz Bouras","2020","http://link.springer.com/book/10.1007/978-3-030-62807-9","Book"
"A model-driven approach to ensure trust in the IoT","Human-centric Computing and Information Sciences","","10","1","10.1186/s13673-020-00257-3","Davide FerrarisCarmen Fernandez-GagoJavier Lopez","2020","http://link.springer.com/article/10.1186/s13673-020-00257-3","Article"
"Safety Patterns for SysML: What Does OMG Specify?","Reuse in Emerging Software Engineering Practices","","","","10.1007/978-3-030-64694-3_2","Nan NiuLogan JohnsonChristopher Diltz","2020","http://link.springer.com/chapter/10.1007/978-3-030-64694-3_2","Chapter"
"Modeling languages in Industry 4.0: an extended systematic mapping study","Software and Systems Modeling","","19","1","10.1007/s10270-019-00757-6","Andreas WortmannOlivier BaraisBenoit CombemaleManuel Wimmer","2020","http://link.springer.com/article/10.1007/s10270-019-00757-6","Article"
"Designing Safe and Secure Embedded and Cyber-Physical Systems with SysML-Sec","Model-Driven Engineering and Software Development","","","","10.1007/978-3-319-27869-8_17","Ludovic ApvrilleYves Roudier","2015","http://link.springer.com/chapter/10.1007/978-3-319-27869-8_17","Chapter"
"Industrial Internet of Things","Springer Series in Wireless Technology","","","","10.1007/978-3-319-42559-7","Sabina JeschkeChristian BrecherHoubing SongDanda B. Rawat","2017","http://link.springer.com/book/10.1007/978-3-319-42559-7","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-03673-7","Dr. Marco KuhrmannProf. Dr. Kurt SchneiderDietmar PfahlSousuke AmasakiMarcus CiolkowskiProf. Dr. Regina HebigDr. Paolo TellJil KlünderSteffen Küpper","2018","http://link.springer.com/book/10.1007/978-3-030-03673-7","Book"
"Introduction to Security and Quality Improvement in Complex Cyber-Physical Systems Engineering","Security and Quality in Cyber-Physical Systems Engineering","","","","10.1007/978-3-030-25312-7_1","Stefan BifflMatthias EckhartArndt LüderEdgar Weippl","2019","http://link.springer.com/chapter/10.1007/978-3-030-25312-7_1","Chapter"
"Pattern Libraries Guiding the Model-Based Reuse of Automotive Solutions","System Analysis and Modeling. Languages, Methods, and Tools for Systems Engineering","","","","10.1007/978-3-030-01042-3_6","Maged Khalil","2018","http://link.springer.com/chapter/10.1007/978-3-030-01042-3_6","Chapter"
"Design, User Experience, and Usability: Theory and Practice","Lecture Notes in Computer Science","","","","10.1007/978-3-319-91797-9","Prof. Aaron MarcusWentao Wang","2018","http://link.springer.com/book/10.1007/978-3-319-91797-9","Book"
"Model-Driven Design of Object and Component Systems","Engineering Trustworthy Software Systems","","","","10.1007/978-3-319-29628-9_4","Zhiming LiuXiaohong Chen","2016","http://link.springer.com/chapter/10.1007/978-3-319-29628-9_4","Chapter"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-319-59536-8","Eric DuboisKlaus Pohl","2017","http://link.springer.com/book/10.1007/978-3-319-59536-8","Book"
"MoDeS3: Model-Based Demonstrator for Smart and Safe Cyber-Physical Systems","NASA Formal Methods","","","","10.1007/978-3-319-77935-5_31","András VörösMárton BúrIstván RáthÁkos HorváthZoltán MicskeiLászló BaloghBálint HegyiBenedek HorváthZsolt MázlóDániel Varró","2018","http://link.springer.com/chapter/10.1007/978-3-319-77935-5_31","Chapter"
"Towards a Methodological Tool Support for Modeling Security-Oriented Processes","Model and Data Engineering","","","","10.1007/978-3-319-45547-1_3","Jacob GeiselBrahim HamidDavid GonzalesJean-Michel Bruel","2016","http://link.springer.com/chapter/10.1007/978-3-319-45547-1_3","Chapter"
"Model Driven Development Approaches for Mobile Applications: A Survey","Mobile Web and Intelligent Information Systems","","","","10.1007/978-3-319-44215-0_8","Eric UmuhozaMarco Brambilla","2016","http://link.springer.com/chapter/10.1007/978-3-319-44215-0_8","Chapter"
"Handbook on Business Process Management 1","International Handbooks on Information Systems","","","","10.1007/978-3-642-45100-3","Jan vom BrockeMichael Rosemann","2015","http://link.springer.com/book/10.1007/978-3-642-45100-3","Book"
"Systematic literature review of the objectives, techniques, kinds, and architectures of models at runtime","Software & Systems Modeling","","15","1","10.1007/s10270-013-0394-9","Michael SzvetitsUwe Zdun","2016","http://link.springer.com/article/10.1007/s10270-013-0394-9","Article"
"Model execution tracing: a systematic mapping study","Software and Systems Modeling","","18","6","10.1007/s10270-019-00724-1","Fazilat HojajiTanja MayerhoferBahman ZamaniAbdelwahab Hamou-LhadjErwan Bousse","2019","http://link.springer.com/article/10.1007/s10270-019-00724-1","Article"
"Architecture optimization: speed or accuracy? both!","Software Quality Journal","","26","2","10.1007/s11219-016-9343-5","Federico CiccozziJuraj FeljanJan CarlsonIvica Crnković","2018","http://link.springer.com/article/10.1007/s11219-016-9343-5","Article"
"Semiformal Assertion-Based Verification of Hardware/Software Systems in a Model-Driven Design Framework","Handbook of Hardware/Software Codesign","","","","10.1007/978-94-017-7267-9_23","Graziano PravadelliDavide QuagliaSara VincoFranco Fummi","2017","http://link.springer.com/referenceworkentry/10.1007/978-94-017-7267-9_23","ReferenceWorkEntry"
"Semiformal Assertion-Based Verification of Hardware/Software Systems in a Model-Driven Design Framework","Handbook of Hardware/Software Codesign","","","","10.1007/978-94-017-7358-4_23-2","Graziano PravadelliDavide QuagliaSara VincoFranco Fummi","2016","http://link.springer.com/referenceworkentry/10.1007/978-94-017-7358-4_23-2","ReferenceWorkEntry"
"Execution of UML models: a systematic review of research and practice","Software & Systems Modeling","","18","3","10.1007/s10270-018-0675-4","Federico CiccozziIvano MalavoltaBran Selic","2019","http://link.springer.com/article/10.1007/s10270-018-0675-4","Article"
"Introduction","Aspect-Oriented Security Hardening of UML Design Models","","","","10.1007/978-3-319-16106-8_1","Djedjiga MouhebMourad DebbabiMakan PourzandiLingyu WangMariam NouhRaha ZiaratiDima AlhadidiChamseddine TalhiVitor Lima","2015","http://link.springer.com/chapter/10.1007/978-3-319-16106-8_1","Chapter"
"Advances in Production Management Systems. Towards Smart and Digital Manufacturing","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-57997-5","Bojan LalicVidosav MajstorovicDr. Ugljesa MarjanovicGregor von CieminskiDavid Romero","2020","http://link.springer.com/book/10.1007/978-3-030-57997-5","Book"
"Interoperability Among Internet of Things (IoT) Components Using Model-Driven Architecture Approach","Information and Communication Technology for Competitive Strategies","","","","10.1007/978-981-13-0586-3_52","Kiranpreet KaurAnil Sharma","2019","http://link.springer.com/chapter/10.1007/978-981-13-0586-3_52","Chapter"
"Building Information Modeling","","","","","10.1007/978-3-319-92862-3","Prof. Dr. André BorrmannProf. Dr. Markus KönigChristian KochDr. Jakob Beetz","2018","http://link.springer.com/book/10.1007/978-3-319-92862-3","Book"
"Business Process Management: Blockchain and Central and Eastern Europe Forum","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-30429-4","Dr. Claudio Di CiccioRenata GabryelczykLuciano García-BañuelosProf. Tomislav HernausRick HullMojca Indihar ŠtembergerAndrea KőDr. Mark Staples","2019","http://link.springer.com/book/10.1007/978-3-030-30429-4","Book"
"Towards Care Systems Using Model-Driven Adaptation and Monitoring of Autonomous Multi-clouds","Advances in Conceptual Modeling","","","","10.1007/978-3-319-70625-2_3","Andreea BugaSorana Tania NemeşKlaus-Dieter Schewe","2017","http://link.springer.com/chapter/10.1007/978-3-319-70625-2_3","Chapter"
"On the automated translational execution of the action language for foundational UML","Software & Systems Modeling","","17","4","10.1007/s10270-016-0556-7","Federico Ciccozzi","2018","http://link.springer.com/article/10.1007/s10270-016-0556-7","Article"
"Resource Management and Performance Analysis of Model-Based Control System Software Engineering Using AADL","Computational Intelligence in Data Mining—Volume 2","","","","10.1007/978-81-322-2731-1_8","K. S. KushalManju NandaJ. Jayanthi","2016","http://link.springer.com/chapter/10.1007/978-81-322-2731-1_8","Chapter"
"Specification, verification, and quantification of security in model-based systems","Computing","","97","7","10.1007/s00607-015-0445-x","Samir OuchaniMourad Debbabi","2015","http://link.springer.com/article/10.1007/s00607-015-0445-x","Article"
"Model-driven generation of runtime checks for system properties","International Journal on Software Tools for Technology Transfer","","18","1","10.1007/s10009-014-0325-2","Mauro PezzéJochen Wuttke","2016","http://link.springer.com/article/10.1007/s10009-014-0325-2","Article"
"Applied Informatics and Cybernetics in Intelligent Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-51974-2","Dr. Radek Silhavy","2020","http://link.springer.com/book/10.1007/978-3-030-51974-2","Book"
"Model Driven Architecture for Decentralized Software Defined VANETs","Future Intelligent Vehicular Technologies","","","","10.1007/978-3-319-51207-5_5","Afza KazmiMuazzam A. KhanFaisal BashirNazar A. SaqibMuhammad AlamMasoom Alam","2017","http://link.springer.com/chapter/10.1007/978-3-319-51207-5_5","Chapter"
"Contents for a Model-Based Software Engineering Body of Knowledge","Software and Systems Modeling","","18","6","10.1007/s10270-019-00746-9","Loli BurgueñoFederico CiccozziMichalis FamelisGerti KappelLeen LambersSebastien MosserRichard F. PaigeAlfonso PierantonioArend RensinkRick SalayGabriele TaentzerAntonio VallecilloManuel Wimmer","2019","http://link.springer.com/article/10.1007/s10270-019-00746-9","Article"
"Supporting inheritance hierarchy changes in model-based regression test selection","Software & Systems Modeling","","18","2","10.1007/s10270-017-0636-3","Mohammed Al-RefaiSudipto GhoshWalter Cazzola","2019","http://link.springer.com/article/10.1007/s10270-017-0636-3","Article"
"Safety Case Impact Assessment in Automotive Software Systems: An Improved Model-Based Approach","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-66266-4_5","Sahar KokalyRick SalayMarsha ChechikMark LawfordTom Maibaum","2017","http://link.springer.com/chapter/10.1007/978-3-319-66266-4_5","Chapter"
"Architecting dynamic cyber-physical spaces","Computing","","98","10","10.1007/s00607-016-0509-6","Christos TsigkanosTimo KehrerCarlo Ghezzi","2016","http://link.springer.com/article/10.1007/s00607-016-0509-6","Article"
"The SISTER Approach for Verification and Validation: A Lightweight Process for Reusable Results","Computer Safety, Reliability, and Security","","","","10.1007/978-3-030-26250-1_15","Andrea CeccarelliDavide BasileAndrea BondavalliLorenzo FalaiAlessandro FantechiSandro FerrariGianluca MandòNicola NostroLuigi Rucher","2019","http://link.springer.com/chapter/10.1007/978-3-030-26250-1_15","Chapter"
