Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Information Model for Model Driven Safety Requirements Management of Complex Systems","Complex Systems Design & Management","","","","10.1007/978-3-642-15654-0_7","R. GuillermH. DemmouN. Sadou","2010","http://link.springer.com/chapter/10.1007/978-3-642-15654-0_7","Chapter"
"Tool Support for Model-Driven Development of Security-Critical Systems with UML","Model-Driven Software Development","","","","10.1007/3-540-28554-7_3","Jan JürjensPasha Shabalin","2005","http://link.springer.com/chapter/10.1007/3-540-28554-7_3","Chapter"
"Application of Safety Analyses in Model Driven Development","Software Technologies for Embedded and Ubiquitous Systems","","","","10.1007/978-3-540-75664-4_10","Javier Fernández BrionesMiguel Ángel de MiguelJ. P. SilvaAlejandro Alonso","2007","http://link.springer.com/chapter/10.1007/978-3-540-75664-4_10","Chapter"
"Methodologies for Model-Driven Development and Deployment: An Overview","Rigorous Software Engineering for Service-Oriented Systems","","","","10.1007/978-3-642-20401-2_26","László GönczyÁbel HegedüsDániel Varró","2011","http://link.springer.com/chapter/10.1007/978-3-642-20401-2_26","Chapter"
"Model-Based Security Engineering: Managed Co-evolution of Security Knowledge and Software Models","Foundations of Security Analysis and Design VII","","","","10.1007/978-3-319-10082-1_2","Jens BürgerJan JürjensThomas RuhrothStefan GärtnerKurt Schneider","2014","http://link.springer.com/chapter/10.1007/978-3-319-10082-1_2","Chapter"
"Encyclopedia of Social Network Analysis and Mining","","","","","10.1007/978-1-4614-6170-8","Professor Reda AlhajjProfessor Jon Rokne","2014","http://link.springer.com/referencework/10.1007/978-1-4614-6170-8","ReferenceWork"
"Lessons learned from building model-driven development tools","Software & Systems Modeling","","11","4","10.1007/s10270-012-0257-9","Richard F. PaigeDániel Varró","2012","http://link.springer.com/article/10.1007/s10270-012-0257-9","Article"
"Encyclopedia of Optimization","","","","","10.1007/978-0-387-74759-0","Christodoulos A. FloudasPanos M. Pardalos","2009","http://link.springer.com/referencework/10.1007/978-0-387-74759-0","ReferenceWork"
"Model-driven risk analysis of evolving critical infrastructures","Journal of Ambient Intelligence and Humanized Computing","","5","2","10.1007/s12652-013-0179-6","Bjørnar SolhaugFredrik Seehusen","2014","http://link.springer.com/article/10.1007/s12652-013-0179-6","Article"
"Critical Systems Verification in MetaMORP(h)OSY","Computer Safety, Reliability, and Security","","","","10.1007/978-3-319-10557-4_15","Rocco AversaBeniamino Di MartinoFrancesco Moscato","2014","http://link.springer.com/chapter/10.1007/978-3-319-10557-4_15","Chapter"
"Encyclopedia of Quality of Life and Well-Being Research","","","","","10.1007/978-94-007-0753-5","Alex C. Michalos","2014","http://link.springer.com/referencework/10.1007/978-94-007-0753-5","ReferenceWork"
"Model-Driven Information Flow Security for Component-Based Systems","From Programs to Systems. The Systems perspective in Computing","","","","10.1007/978-3-642-54848-2_1","Najah Ben SaidTakoua AbdellatifSaddek BensalemMarius Bozga","2014","http://link.springer.com/chapter/10.1007/978-3-642-54848-2_1","Chapter"
"Model Driven Workflow Development with T□","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-642-31069-0_23","Fazle RabbiWendy MacCaull","2012","http://link.springer.com/chapter/10.1007/978-3-642-31069-0_23","Chapter"
"Model-driven, Moving-Target Defense for Enterprise Network Security","Models@run.time","","","","10.1007/978-3-319-08915-7_5","Scott A. DeLoachXinming OuRui ZhuangSu Zhang","2014","http://link.springer.com/chapter/10.1007/978-3-319-08915-7_5","Chapter"
"Requirements traceability in model-driven development: Applying model and transformation conformance","Information Systems Frontiers","","9","4","10.1007/s10796-007-9038-3","João Paulo A. AlmeidaMaria-Eugenia IacobPascal van Eck","2007","http://link.springer.com/article/10.1007/s10796-007-9038-3","Article"
"An Overview of the SAE Architecture Analysis & Design Language (AADL) Standard: A Basis for Model-Based Architecture-Driven Embedded Systems Engineering","Architecture Description Languages","","","","10.1007/0-387-24590-1_1","Peter H. FeilerBruce LewisSteve VestalEd Colbert","2005","http://link.springer.com/chapter/10.1007/0-387-24590-1_1","Chapter"
"Service-oriented computing and model-driven development as enablers of port information systems: an integrated view","WMU Journal of Maritime Affairs","","12","1","10.1007/s13437-012-0035-0","Maria A. LambrouØrnulf Jan RødsethHoward FosterKay Fjørtoft","2013","http://link.springer.com/article/10.1007/s13437-012-0035-0","Article"
"Model-Driven Requirements Engineering: Synchronising Models in an Air Traffic Management Case Study","Advanced Information Systems Engineering","","","","10.1007/978-3-540-25975-6_27","Neil A. M. MaidenSara V. JonesSharon ManningJohn GreenwoodL. Renou","2004","http://link.springer.com/chapter/10.1007/978-3-540-25975-6_27","Chapter"
"A Model-Driven Approach for A-posteriori Tool Integration","Collaborative and Distributed Chemical Engineering. From Understanding to Substantial Design Process Support","","","","10.1007/978-3-540-70552-9_1","W. MarquardtM. Nagl","2008","http://link.springer.com/chapter/10.1007/978-3-540-70552-9_1","Chapter"
"Tutorials at MODELS 2008","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-540-87875-9_65","Xavier Blanc","2008","http://link.springer.com/chapter/10.1007/978-3-540-87875-9_65","Chapter"
"Model-Driven Configuration and Deployment of Component Middleware Publish/Subscribe Services","Generative Programming and Component Engineering","","","","10.1007/978-3-540-30175-2_18","George EdwardsGan DengDouglas C. SchmidtAniruddha GokhaleBala Natarajan","2004","http://link.springer.com/chapter/10.1007/978-3-540-30175-2_18","Chapter"
"Assurance Cases in Model-Driven Development of the Pacemaker Software","Leveraging Applications of Formal Methods, Verification, and Validation","","","","10.1007/978-3-642-16561-0_33","Eunkyoung JeeInsup LeeOleg Sokolsky","2010","http://link.springer.com/chapter/10.1007/978-3-642-16561-0_33","Chapter"
"Simulation-Based Development of Safety Related Interlocks","Simulation and Modeling Methodologies, Technologies and Applications","","","","10.1007/978-3-642-34336-0_11","Timo VepsäläinenSeppo Kuikka","2013","http://link.springer.com/chapter/10.1007/978-3-642-34336-0_11","Chapter"
"Model-Based Testing for Functional and Security Test Generation","Foundations of Security Analysis and Design VII","","","","10.1007/978-3-319-10082-1_1","Fabrice BouquetFabien PeureuxFabrice Ambert","2014","http://link.springer.com/chapter/10.1007/978-3-319-10082-1_1","Chapter"
"Model-based engineering for change-tolerant systems","Innovations in Systems and Software Engineering","","3","4","10.1007/s11334-007-0038-8","Shawn BohnerRamya RavichandarJames Arthur","2007","http://link.springer.com/article/10.1007/s11334-007-0038-8","Article"
"Encyclopedia of Cryptography and Security","","","","","10.1007/978-1-4419-5906-5","Henk C. A. van TilborgSushil Jajodia","2011","http://link.springer.com/referencework/10.1007/978-1-4419-5906-5","ReferenceWork"
"Towards a Better Integration of Patterns in Secure Component-Based Systems Design","Computational Science and Its Applications - ICCSA 2011","","","","10.1007/978-3-642-21934-4_49","Rahma BouazizBrahim HamidNicolas Desnos","2011","http://link.springer.com/chapter/10.1007/978-3-642-21934-4_49","Chapter"
"Combining Verification and MDE Illustrated by a Formal Java Development","ICT in Education, Research, and Industrial Applications","","","","10.1007/978-3-642-35737-4_8","Selma DjeddaiMohamed MezghicheMartin Strecker","2013","http://link.springer.com/chapter/10.1007/978-3-642-35737-4_8","Chapter"
"Encyclopedia of Operations Research and Management Science","","","","","10.1007/978-1-4419-1153-7","Saul I. GassMichael C. Fu","2013","http://link.springer.com/referencework/10.1007/978-1-4419-1153-7","ReferenceWork"
"Personal reflections on automation, programming culture, and model-based software engineering","Automated Software Engineering","","15","3 - 4","10.1007/s10515-008-0035-7","Bran Selic","2008","http://link.springer.com/article/10.1007/s10515-008-0035-7","Article"
"Modelling and Model-Based Assessment","Resilience Assessment and Evaluation of Computing Systems","","","","10.1007/978-3-642-29032-9_7","Andrea BondavalliPaolo LolliniIstván MajzikLeonardo Montecchi","2012","http://link.springer.com/chapter/10.1007/978-3-642-29032-9_7","Chapter"
"Encyclopedia of the Sciences of Learning","","","","","10.1007/978-1-4419-1428-6","Prof. Dr. Norbert M. Seel","2012","http://link.springer.com/referencework/10.1007/978-1-4419-1428-6","ReferenceWork"
"Towards Model Based Development of Managed Networked Embedded Systems","SDL 2009: Design for Motes and Mobiles","","","","10.1007/978-3-642-04554-7_4","El Arbi AboussororIleana OberMichelle Sibilla","2009","http://link.springer.com/chapter/10.1007/978-3-642-04554-7_4","Chapter"
"Reliability Support for the Model Driven Architecture","Architecting Dependable Systems II","","","","10.1007/978-3-540-25939-8_4","Genaína Nunes RodriguesGraham RobertsWolfgang Emmerich","2004","http://link.springer.com/chapter/10.1007/978-3-540-25939-8_4","Chapter"
"Trustworthy Software Development Based on Model Driven Architecture","Information Computing and Applications","","","","10.1007/978-3-642-53932-9_19","Yang ZhuLanhua FeiNianhua Yang","2013","http://link.springer.com/chapter/10.1007/978-3-642-53932-9_19","Chapter"
"Communities of practice model driven knowledge management in multinational knowledge based enterprises","Journal of Intelligent Manufacturing","","23","5","10.1007/s10845-010-0472-6","Mei-Tai ChuRajiv KhoslaToyoaki Nishida","2012","http://link.springer.com/article/10.1007/s10845-010-0472-6","Article"
"2 Model-Based Integration","Model-Based Engineering of Embedded Real-Time Systems","","","","10.1007/978-3-642-16277-0_2","Holger GieseStefan NeumannOliver NiggemannBernhard Schätz","2010","http://link.springer.com/chapter/10.1007/978-3-642-16277-0_2","Chapter"
"Evaluation of Jif and Joana as Information Flow Analyzers in a Model-Driven Approach","Data Privacy Management and Autonomous Spontaneous Security","","","","10.1007/978-3-642-35890-6_13","Kuzman KatkalovPeter FischerKurt StenzelNina MoebiusWolfgang Reif","2013","http://link.springer.com/chapter/10.1007/978-3-642-35890-6_13","Chapter"
"Experiences with Formal Engineering: Model-Based Specification, Implementation and Testing of a Software Bus at Neopost.","Formal Methods for Industrial Critical Systems","","","","10.1007/978-3-642-24431-5_10","Marten SijtemaMariëlle I. A. StoelingaAxel BelinfanteLawrence Marinelli","2011","http://link.springer.com/chapter/10.1007/978-3-642-24431-5_10","Chapter"
"Composing and Deploying Grid Middleware Web Services Using Model Driven Architecture","On the Move to Meaningful Internet Systems 2002: CoopIS, DOA, and ODBASE","","","","10.1007/3-540-36124-3_43","Aniruddha GokhaleBalachandran Natarajan","2002","http://link.springer.com/chapter/10.1007/3-540-36124-3_43","Chapter"
"A Modeling and Formal Approach for the Precise Specification of Security Patterns","Engineering Secure Software and Systems","","","","10.1007/978-3-319-04897-0_7","Brahim HamidChristian Percebois","2014","http://link.springer.com/chapter/10.1007/978-3-319-04897-0_7","Chapter"
"Handbook of Intelligent Vehicles","","","","","10.1007/978-0-85729-085-4","Azim Eskandarian","2012","http://link.springer.com/referencework/10.1007/978-0-85729-085-4","ReferenceWork"
"Workshops and Symposia at MoDELS 2006","Model Driven Engineering Languages and Systems","","","","10.1007/11880240_54","Thomas Kühne","2006","http://link.springer.com/chapter/10.1007/11880240_54","Chapter"
"Aspects, Dependencies and Interactions","Object-Oriented Technology. ECOOP 2008 Workshop Reader","","","","10.1007/978-3-642-02047-6_6","Frans SanenKatharina MehnerRuzanna ChitchyanLodewijk BergmansJohan FabryMario Sudholt","2009","http://link.springer.com/chapter/10.1007/978-3-642-02047-6_6","Chapter"
"An Access Control Language for Dynamic Systems – Model-Driven Development and Verification","SDL 2005: Model Driven","","","","10.1007/11506843_2","Manuel KochKarl Pauls","2005","http://link.springer.com/chapter/10.1007/11506843_2","Chapter"
"Model-Driven Construction of Certified Binaries","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-540-75209-7_45","Sagar ChakiJames IversPeter LeeKurt WallnauNoam Zeilberger","2007","http://link.springer.com/chapter/10.1007/978-3-540-75209-7_45","Chapter"
"Model Driven Architecture – An Industry Perspective","Architecting Dependable Systems II","","","","10.1007/978-3-540-25939-8_15","Chris RaistrickTony Bloomfield","2004","http://link.springer.com/chapter/10.1007/978-3-540-25939-8_15","Chapter"
"Model-Driven Design-Space Exploration for Software-Intensive Embedded Systems","Formal Modeling and Analysis of Timed Systems","","","","10.1007/978-3-642-33365-1_1","Twan BastenMartijn HendriksLou SomersNikola Trčka","2012","http://link.springer.com/chapter/10.1007/978-3-642-33365-1_1","Chapter"
"rCOS: Theory and Tool for Component-Based Model Driven Development","Fundamentals of Software Engineering","","","","10.1007/978-3-642-11623-0_3","Zhiming LiuCharles MorissetVolker Stolz","2010","http://link.springer.com/chapter/10.1007/978-3-642-11623-0_3","Chapter"
"Biomedical Informatics","","","","","10.1007/978-1-4471-4474-8","Edward H. ShortliffeJames J. Cimino","2014","http://link.springer.com/book/10.1007/978-1-4471-4474-8","Book"
"On Bringing Object-Oriented Software Metrics into the Model-Based World – Verifying ISO 26262 Compliance in Simulink","System Analysis and Modeling: Models and Reusability","","","","10.1007/978-3-319-11743-0_15","Lukas MäurerTanja HebeckerTorben StolteMichael LipaczewskiUwe MöhrstädtFrank Ortmeier","2014","http://link.springer.com/chapter/10.1007/978-3-319-11743-0_15","Chapter"
"Model-Based Security Event Management","Computer Network Security","","","","10.1007/978-3-642-33704-8_16","Julian SchütteRoland RiekeTimo Winkelvos","2012","http://link.springer.com/chapter/10.1007/978-3-642-33704-8_16","Chapter"
"Model-Driven Dependability Analysis of WebServices","On the Move to Meaningful Internet Systems 2004: CoopIS, DOA, and ODBASE","","","","10.1007/978-3-540-30469-2_48","Apostolos ZarrasPanos VassiliadisValérie Issarny","2004","http://link.springer.com/chapter/10.1007/978-3-540-30469-2_48","Chapter"
"An Integrated Model-Driven Development Environment for Composing and Validating Distributed Real-Time and Embedded Systems","Model-Driven Software Development","","","","10.1007/3-540-28554-7_15","Gabriele TrombettiAniruddha GokhaleDouglas C. SchmidtJesse GreenwaldJohn HatcliffGeorg JungGurdip Singh","2005","http://link.springer.com/chapter/10.1007/3-540-28554-7_15","Chapter"
"Analytical Quality Assurance","Service Research Challenges and Solutions for the Future Internet","","","","10.1007/978-3-642-17599-2_7","Andreas MetzgerSalima BenbernouManuel CarroMaha DrissGabor KecskemetiRaman KazhamiakinKyriakos KrytikosAndrea MocciElisabetta Di NittoBranimir WetzsteinFabrizio Silvestri","2010","http://link.springer.com/chapter/10.1007/978-3-642-17599-2_7","Chapter"
"International Encyclopedia of Statistical Science","","","","","10.1007/978-3-642-04898-2","Miodrag Lovric","2011","http://link.springer.com/referencework/10.1007/978-3-642-04898-2","ReferenceWork"
"Deriving Safety Cases for Hierarchical Structure in Model-Based Development","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-15651-9_6","Nurlida BasirEwen DenneyBernd Fischer","2010","http://link.springer.com/chapter/10.1007/978-3-642-15651-9_6","Chapter"
"Second International Workshop on the Model-Based Design of Trustworthy Health Information Systems MOTHIS 2008","Models in Software Engineering","","","","10.1007/978-3-642-01648-6_21","Ruth BreuJános Sztipanovits","2009","http://link.springer.com/chapter/10.1007/978-3-642-01648-6_21","Chapter"
"Computational Science – ICCS 2009","Lecture Notes in Computer Science","","","","10.1007/978-3-642-01970-8","Gabrielle AllenJaroslaw NabrzyskiEdward SeidelGeert Dick van AlbadaJack DongarraPeter M. A. Sloot","2009","http://link.springer.com/book/10.1007/978-3-642-01970-8","Book"
"Model-Based Coverage-Driven Test Suite Generation for Software Product Lines","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-24485-8_31","Harald CichosSebastian OsterMalte LochauAndy Schürr","2011","http://link.springer.com/chapter/10.1007/978-3-642-24485-8_31","Chapter"
"Computer Vision","","","","","10.1007/978-0-387-31439-6","Katsushi Ikeuchi","2014","http://link.springer.com/referencework/10.1007/978-0-387-31439-6","ReferenceWork"
"An Approach for Model-Based Risk Assessment","Computer Safety, Reliability, and Security","","","","10.1007/978-3-540-30138-7_26","Bjørn Axel GranRune FredriksenAtoosa P. -J. Thunem","2004","http://link.springer.com/chapter/10.1007/978-3-540-30138-7_26","Chapter"
"An Approach for Security Patterns Application in Component Based Models","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09156-3_21","Rahma BouazizSlim KallelBernard Coulette","2014","http://link.springer.com/chapter/10.1007/978-3-319-09156-3_21","Chapter"
"Guest editorial to the theme issue on non-functional system properties in domain specific modeling languages","Software & Systems Modeling","","10","3","10.1007/s10270-010-0171-y","Marko BoškovićDragan GaševićClaus PahlBernhard Schätz","2011","http://link.springer.com/article/10.1007/s10270-010-0171-y","Article"
"Encyclopedia of Multimedia","","","","","10.1007/978-0-387-78414-4","Borko Furht","2008","http://link.springer.com/referencework/10.1007/978-0-387-78414-4","ReferenceWork"
"Layered Ontological Modelling for Web Service-Oriented Model-Driven Architecture","Model Driven Architecture – Foundations and Applications","","","","10.1007/11581741_8","Claus Pahl","2005","http://link.springer.com/chapter/10.1007/11581741_8","Chapter"
"FTG+PM: An Integrated Framework for Investigating Model Transformation Chains","SDL 2013: Model-Driven Dependability Engineering","","","","10.1007/978-3-642-38911-5_11","Levi LúcioSadaf MustafizJoachim DenilHans VangheluweMaris Jukss","2013","http://link.springer.com/chapter/10.1007/978-3-642-38911-5_11","Chapter"
"Intents and Upgrades in Component-Based High-Assurance Systems","Model-Driven Software Development","","","","10.1007/3-540-28554-7_13","Jonas ElmqvistSimin Nadjm-Tehrani","2005","http://link.springer.com/chapter/10.1007/3-540-28554-7_13","Chapter"
"Model Transformations in Non-functional Analysis","Formal Methods for Model-Driven Engineering","","","","10.1007/978-3-642-30982-3_8","Steffen Becker","2012","http://link.springer.com/chapter/10.1007/978-3-642-30982-3_8","Chapter"
"Human-Computer Interaction – INTERACT 2011","Lecture Notes in Computer Science","","","","10.1007/978-3-642-23771-3","Pedro CamposNicholas GrahamJoaquim JorgeNuno NunesPhilippe PalanqueMarco Winckler","2011","http://link.springer.com/book/10.1007/978-3-642-23771-3","Book"
"Conflict Prevention Via Model-Driven Policy Refinement","Large Scale Management of Distributed Systems","","","","10.1007/11907466_18","Steven DavyBrendan JenningsJohn Strassner","2006","http://link.springer.com/chapter/10.1007/11907466_18","Chapter"
"A formal framework for dependability and resilience from a software engineering perspective","Central European Journal of Computer Science","","1","3","10.2478/s13537-011-0025-x","Nicolas Guelfi","2011","http://link.springer.com/article/10.2478/s13537-011-0025-x","Article"
"Model-Based Deployment of Mission-Critical Spacecraft Applications on Multicore Processors","Reliable Software Technologies – Ada-Europe 2013","","","","10.1007/978-3-642-38601-5_3","J. Reinier van KampenhoutRobert Hilbrich","2013","http://link.springer.com/chapter/10.1007/978-3-642-38601-5_3","Chapter"
"Encyclopedia of Operations Research and Management Science","","","","","10.1007/1-4020-0611-X","Saul I. GassCarl M. Harris","2001","http://link.springer.com/referencework/10.1007/1-4020-0611-X","ReferenceWork"
"MDE-Based Verification of SysML State Machine Diagram by UPPAAL","Trustworthy Computing and Services","","","","10.1007/978-3-642-35795-4_62","Xiaopu HuangQingqing SunJiangwei LiTian Zhang","2013","http://link.springer.com/chapter/10.1007/978-3-642-35795-4_62","Chapter"
"Compositional Verification of Application-Level Security Properties","Engineering Secure Software and Systems","","","","10.1007/978-3-642-36563-8_6","Linda Ariani GunawanPeter Herrmann","2013","http://link.springer.com/chapter/10.1007/978-3-642-36563-8_6","Chapter"
"Code generation for a family of executable modelling notations","Software & Systems Modeling","","11","2","10.1007/s10270-010-0176-6","Adam ProutJoanne M. AtleeNancy A. DayPourya Shaker","2012","http://link.springer.com/article/10.1007/s10270-010-0176-6","Article"
"A Model-Based Methodology to Formalize Specifications of Railway Systems","Model-Based Safety and Assessment","","","","10.1007/978-3-319-12214-4_3","Melissa IssadLeïla KloulAntoine Rauzy","2014","http://link.springer.com/chapter/10.1007/978-3-319-12214-4_3","Chapter"
"Collaborative Verification-Driven Engineering of Hybrid Systems","Mathematics in Computer Science","","8","1","10.1007/s11786-014-0176-y","Stefan MitschGrant Olney PassmoreAndré Platzer","2014","http://link.springer.com/article/10.1007/s11786-014-0176-y","Article"
"Intent Inferencing with a Model-Based Operator’s Associate","Empirical Foundations of Information and Software Science V","","","","10.1007/978-1-4684-5862-6_21","Patricia M. JonesChristine M. MitchellKenneth S. Rubin","1990","http://link.springer.com/chapter/10.1007/978-1-4684-5862-6_21","Chapter"
"Verifying Hypermedia Applications by Using an MDE Approach","System Analysis and Modeling: Models and Reusability","","","","10.1007/978-3-319-11743-0_12","Delcino Picinin JúniorCristian KoliverCelso A. S. SantosJean-Marie Farines","2014","http://link.springer.com/chapter/10.1007/978-3-319-11743-0_12","Chapter"
"Model-Based Ubiquitous Interaction Concepts and Contexts in Public Systems","Human-Computer Interaction. Design and Development Approaches","","","","10.1007/978-3-642-21602-2_32","Thomas SchlegelChristine Keller","2011","http://link.springer.com/chapter/10.1007/978-3-642-21602-2_32","Chapter"
"Model-Driven Dynamic Control of Embedded Wireless Sensor Networks","Computational Science – ICCS 2006","","","","10.1007/11758532_55","Paul G. FlikkemaPankaj K. AgarwalJames S. ClarkCarla EllisAlan GelfandKamesh MunagalaJun Yang","2006","http://link.springer.com/chapter/10.1007/11758532_55","Chapter"
"A model-based approach to analysis of authentication protocols","Information Processing and Security Systems","","","","10.1007/0-387-26325-X_19","Janusz GórskiMarcin Olszewski","2005","http://link.springer.com/chapter/10.1007/0-387-26325-X_19","Chapter"
