Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Foundations","Composing Model-Based Analysis Tools","","","","10.1007/978-3-030-81915-6_2","Carolyn TalcottSofia AnanievaKyungmin BaeBenoit CombemaleRobert HeinrichMark HillsNarges KhakpourRalf ReussnerBernhard RumpePatrizia ScandurraHans VangheluweFrancisco DuránSteffen Zschaler","2021","http://link.springer.com/chapter/10.1007/978-3-030-81915-6_2","Chapter"
"Service-Oriented Computing","Communications in Computer and Information Science","","","","10.1007/978-3-030-87568-8","Johanna Barzen","2021","http://link.springer.com/book/10.1007/978-3-030-87568-8","Book"
"Model-driven development platform selection: four industry case studies","Software and Systems Modeling","","20","5","10.1007/s10270-020-00855-w","Siamak FarshidiSlinger JansenSven Fortuin","2021","http://link.springer.com/article/10.1007/s10270-020-00855-w","Article"
"Soft Computing and Signal Processing","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-33-6912-2","Dr. V. Sivakumar ReddyProf. V. Kamakshi PrasadJiacun WangDr. K. T. V. Reddy","2021","http://link.springer.com/book/10.1007/978-981-33-6912-2","Book"
"Advances in Visual Informatics","Lecture Notes in Computer Science","","","","10.1007/978-3-030-90235-3","Halimah Badioze ZamanAlan F. SmeatonTimothy K. ShihProf. Sergio VelastinTada TerutoshiProf. Dr. Bo Nørregaard JørgensenDr. Hazleen ArisNazrita Ibrahim","2021","http://link.springer.com/book/10.1007/978-3-030-90235-3","Book"
"Handbook of Smart Cities","","","","","10.1007/978-3-030-69698-6","Juan Carlos Augusto","2021","http://link.springer.com/referencework/10.1007/978-3-030-69698-6","ReferenceWork"
"Service-Oriented Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91431-8","Hakim HacidOdej KaoMassimo MecellaDr. Naouel MohaHye-young Paik","2021","http://link.springer.com/book/10.1007/978-3-030-91431-8","Book"
"Advances in Security, Networks, and Internet of Things","Transactions on Computational Science and Computational Intelligence","","","","10.1007/978-3-030-71017-0","Dr. Kevin DaimiProf. Hamid R. ArabniaLeonidas DeligiannidisMin-Shiang HwangFernando G. Tinetti","2021","http://link.springer.com/book/10.1007/978-3-030-71017-0","Book"
"Innovations in Information and Communication Technologies  (IICT-2020)","Advances in Science, Technology & Innovation","","","","10.1007/978-3-030-66218-9","Dr. Pradeep Kumar SinghProf. Zdzislaw PolkowskiDr. Sudeep TanwarDr. Sunil Kumar PandeyProf. Gheorghe MateiDr. Daniela Pirvu","2021","http://link.springer.com/book/10.1007/978-3-030-66218-9","Book"
"Biomedical Informatics","","","","","10.1007/978-3-030-58721-5","Prof. Dr. Edward H. ShortliffeJames J. Cimino","2021","http://link.springer.com/book/10.1007/978-3-030-58721-5","Book"
"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection","Communications in Computer and Information Science","","","","10.1007/978-3-030-85710-3","Fernando De La PrietaAlia El BolockDalila DurãesJoão CarneiroFernando LopesVicente Julian","2021","http://link.springer.com/book/10.1007/978-3-030-85710-3","Book"
"Domain Science and Engineering","Monographs in Theoretical Computer Science. An EATCS Series","","","","10.1007/978-3-030-73484-8","Prof. Dr. Dines Bjørner","2021","http://link.springer.com/book/10.1007/978-3-030-73484-8","Book"
"Computer Vision","","","","","10.1007/978-3-030-63416-2","Katsushi Ikeuchi","2021","http://link.springer.com/referencework/10.1007/978-3-030-63416-2","ReferenceWork"
"Proceedings of the 18th International Conference on Computing in Civil and Building Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-3-030-51295-8","Prof. Eduardo Toledo SantosProf. Sergio Scheer","2021","http://link.springer.com/book/10.1007/978-3-030-51295-8","Book"
"Database and Expert Systems Applications - DEXA 2021 Workshops","Communications in Computer and Information Science","","","","10.1007/978-3-030-87101-7","Gabriele KotsisA Min TjoaIsmail KhalilDr. Bernhard MoserAtif MashkoorJohannes SametingerDr. Anna FenselProf. Jorge Martinez-GilLukas FischerGerald CzechFlorian SobieczkySohail Khan","2021","http://link.springer.com/book/10.1007/978-3-030-87101-7","Book"
"Software Engineering and Formal Methods","Lecture Notes in Computer Science","","","","10.1007/978-3-030-92124-8","Dr. Radu CalinescuCorina S. Păsăreanu","2021","http://link.springer.com/book/10.1007/978-3-030-92124-8","Book"
"Service-Oriented Computing  – ICSOC 2020 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-76352-7","Hakim HacidFatma OutayHye-young PaikAmira AlloumMarinella PetrocchiMohamed Reda BouadjenekDr. Amin BeheshtiXumin LiuAbderrahmane Maaradji","2021","http://link.springer.com/book/10.1007/978-3-030-76352-7","Book"
"Nuclear Power Plants: Innovative Technologies for Instrumentation and Control Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-3456-7","Prof. Yang XuYongbin SunYanyang LiuFeng GaoDr. Pengfei GuZheming Liu","2021","http://link.springer.com/book/10.1007/978-981-16-3456-7","Book"
"Advances in Computer Science for Engineering and Education IV","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-80472-5","Prof. Zhengbing HuProf. Sergey PetoukhovProf. Ivan DychkaProf. Matthew He","2021","http://link.springer.com/book/10.1007/978-3-030-80472-5","Book"
"Human-Computer Interaction. Theory, Methods and Tools","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78462-1","Masaaki Kurosu","2021","http://link.springer.com/book/10.1007/978-3-030-78462-1","Book"
"Theory and Engineering of Dependable Computer Systems and Networks","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-76773-0","Prof. Wojciech ZamojskiDr. Jacek MazurkiewiczDr. Jarosław SugierDr. Tomasz WalkowiakProf. Janusz Kacprzyk","2021","http://link.springer.com/book/10.1007/978-3-030-76773-0","Book"
"Abstract Test Execution for Early Testing Activities in Model-Driven Scenarios","Model-Driven Engineering and Software Development","","","","10.1007/978-3-030-67445-8_12","Reinhard PröllNoël HagemannBernhard Bauer","2021","http://link.springer.com/chapter/10.1007/978-3-030-67445-8_12","Chapter"
"Innovations in Cyber Physical Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-4149-7","Prof. Jawar SinghDr. Sudhir KumarDr. Umakanta Choudhury","2021","http://link.springer.com/book/10.1007/978-981-16-4149-7","Book"
"Blockchain and Trustworthy Systems","Communications in Computer and Information Science","","","","10.1007/978-981-16-7993-3","Dr. Hong-Ning DaiProf. Dr. Xuanzhe LiuDaniel Xiapu LuoJiang XiaoXiangping Chen","2021","http://link.springer.com/book/10.1007/978-981-16-7993-3","Book"
"Software Sustainability","","","","","10.1007/978-3-030-69970-3","Prof. Coral CaleroDr. Mª Ángeles MoragaProf. Mario Piattini","2021","http://link.springer.com/book/10.1007/978-3-030-69970-3","Book"
"GoRIM: a model-driven method for enhancing regulatory intelligence","Software and Systems Modeling","","","","10.1007/s10270-021-00949-z","Okhaide AkhigbeDaniel AmyotGregory RichardsLysanne Lessard","2021","http://link.springer.com/article/10.1007/s10270-021-00949-z","Article"
"EURO Working Group on DSS","Integrated Series in Information Systems","","","","10.1007/978-3-030-70377-6","Jason PapathanasiouPascale ZaratéJorge Freire de Sousa","2021","http://link.springer.com/book/10.1007/978-3-030-70377-6","Book"
"Cell Culture Engineering and Technology","Cell Engineering","","","","10.1007/978-3-030-79871-0","Prof. Dr. Ralf Pörtner","2021","http://link.springer.com/book/10.1007/978-3-030-79871-0","Book"
"Next Generation of Internet of Things","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-0666-3","Dr. Raghvendra KumarDr. Brojo Kishore MishraDr. Prasant Kumar Pattnaik","2021","http://link.springer.com/book/10.1007/978-981-16-0666-3","Book"
"Communications, Signal Processing, and Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-15-8411-4","Prof. Qilian LiangWei WangDr. Xin LiuProf. Zhenyu NaXiaoxia LiBaoju Zhang","2021","http://link.springer.com/book/10.1007/978-981-15-8411-4","Book"
"Big Data and Security","Communications in Computer and Information Science","","","","10.1007/978-981-16-3150-4","Dr. Yuan TianTinghuai MaProf. Dr. Muhammad Khurram Khan","2021","http://link.springer.com/book/10.1007/978-981-16-3150-4","Book"
"Handbook of Systems Sciences","","","","","10.1007/978-981-15-0720-5","Dr. Gary S. MetcalfDr. Kyoichi KijimaDr. Hiroshi Deguchi","2021","http://link.springer.com/referencework/10.1007/978-981-15-0720-5","ReferenceWork"
"Image and Graphics","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87355-4","Yuxin PengDr. Shi-Min HuMoncef GabboujKun ZhouMichael EladKun Xu","2021","http://link.springer.com/book/10.1007/978-3-030-87355-4","Book"
"Multimedia Technology and Enhanced Learning","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-82562-1","Weina FuYuan XuShui-Hua WangYudong Zhang","2021","http://link.springer.com/book/10.1007/978-3-030-82562-1","Book"
"Conceptual Modeling","Lecture Notes in Computer Science","","","","10.1007/978-3-030-89022-3","Dr. Aditya GhoseJennifer HorkoffVítor E. Silva SouzaProf. Jeffrey ParsonsJoerg Evermann","2021","http://link.springer.com/book/10.1007/978-3-030-89022-3","Book"
"Proceedings of the 25th International Symposium on Advancement of Construction Management and Real Estate","","","","","10.1007/978-981-16-3587-8","Xinhai LuZuo ZhangWeisheng LuYi Peng","2021","http://link.springer.com/book/10.1007/978-981-16-3587-8","Book"
"Formal Methods","Lecture Notes in Computer Science","","","","10.1007/978-3-030-90870-6","Prof. Dr. Marieke HuismanCorina PăsăreanuNaijun Zhan","2021","http://link.springer.com/book/10.1007/978-3-030-90870-6","Book"
"Formal Methods for Industrial Critical Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85248-1","Alberto Lluch LafuenteAnastasia Mavridou","2021","http://link.springer.com/book/10.1007/978-3-030-85248-1","Book"
"Proceedings of Second International Conference on Computing, Communications, and Cyber-Security","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-0733-2","Dr. Pradeep Kumar SinghProf. Dr. Sławomir T. WierzchońSudeep TanwarDr. Maria GanzhaProf. Joel J. P. C. Rodrigues","2021","http://link.springer.com/book/10.1007/978-981-16-0733-2","Book"
"Collaborative Computing: Networking, Applications and Worksharing","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-92635-9","Honghao GaoXinheng Wang","2021","http://link.springer.com/book/10.1007/978-3-030-92635-9","Book"
"A Systematic Review of Metamodelling in Software Engineering","Recent Advances in Intelligent Systems and Smart Applications","","","","10.1007/978-3-030-47411-9_1","Murni FatehahVitaliy MezhuyevMostafa Al-Emran","2021","http://link.springer.com/chapter/10.1007/978-3-030-47411-9_1","Chapter"
"Systems  Engineering and Artificial Intelligence","","","","","10.1007/978-3-030-77283-3","William F. LawlessRanjeev MittuDonald A. SofgeThomas ShortellThomas A. McDermott","2021","http://link.springer.com/book/10.1007/978-3-030-77283-3","Book"
"Computational Science – ICCS 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77980-1","Prof. Maciej PaszynskiProf. Dr. Dieter KranzlmüllerDr. Valeria V. KrzhizhanovskayaProf. Jack J. DongarraProf. Dr. Peter M. A. Sloot","2021","http://link.springer.com/book/10.1007/978-3-030-77980-1","Book"
"Computational Science – ICCS 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77970-2","Prof. Maciej PaszynskiProf. Dr. Dieter KranzlmüllerDr. Valeria V. KrzhizhanovskayaProf. Jack J. DongarraProf. Dr. Peter M.A. Sloot","2021","http://link.springer.com/book/10.1007/978-3-030-77970-2","Book"
"Design, User Experience, and Usability:  UX Research and Design","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78221-4","Marcelo M. SoaresDr. Elizabeth RosenzweigDr. Aaron Marcus","2021","http://link.springer.com/book/10.1007/978-3-030-78221-4","Book"
"Advances in Artificial Intelligence and Applied Cognitive Computing","Transactions on Computational Science and Computational Intelligence","","","","10.1007/978-3-030-70296-0","Dr. Hamid R. ArabniaDr. Ken FerensDavid de la FuenteElena B. KozerenkoProf. Dr. José Angel Olivas VarelaFernando G. Tinetti","2021","http://link.springer.com/book/10.1007/978-3-030-70296-0","Book"
"Innovation Through Information Systems","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-030-86800-0","Prof. Dr. Frederik AhlemannProf. Dr. Reinhard SchütteProf. Dr. Stefan Stieglitz","2021","http://link.springer.com/book/10.1007/978-3-030-86800-0","Book"
"Reliability Engineering and Computational Intelligence","Studies in Computational Intelligence","","","","10.1007/978-3-030-74556-1","Coen van GulijkProf. Dr. Elena Zaitseva","2021","http://link.springer.com/book/10.1007/978-3-030-74556-1","Book"
"Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85910-7","Alexandre DolguiProf. Alain BernardDavid LemoineGregor von CieminskiDavid Romero","2021","http://link.springer.com/book/10.1007/978-3-030-85910-7","Book"
